file,line,type,commit,author,date,time,timezone,datetime,depth,length
static\style.css,37,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,38,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,39,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,14
static\style.css,40,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,26
static\style.css,41,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,26
static\style.css,42,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,38
static\style.css,43,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,21
static\style.css,44,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,17
static\style.css,45,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,46,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,47,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,11
static\style.css,48,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,26
static\style.css,49,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,26
static\style.css,50,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,41
static\style.css,51,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,21
static\style.css,52,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,58
static\style.css,53,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,54,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,55,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,13
static\style.css,56,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,1,17
static\style.css,57,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,1,9
static\style.css,58,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,1,11
static\style.css,59,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,1,20
static\style.css,60,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,1,8
static\style.css,61,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,0
static\style.css,62,css,625c32ff,ALESSANDRA BELLÓ SOARES,2025-03-27,12:28:52,-03:00,2025-03-27T12:28:52-03:00,0,0
static\style.css,63,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,22
static\style.css,64,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,48
static\style.css,65,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,66,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,0
static\style.css,67,css,5471ffa3,ALESSANDRA BELLÓ SOARES,2025-03-20,12:40:11,-03:00,2025-03-20T12:40:11-03:00,0,25
